Year,Team,Player,Salary,Percent_team_salary
1994.0,CHI,Scottie Pippen,2225000.0,0.10089271232213805
1994.0,CHI,Luc Longley,1590000.0,0.07209861240098854
1994.0,CHI,Will Perdue,1056225.0,0.04789456407750574
1994.0,CHI,Bill Wennington,1000000.0,0.045345039245904745
1994.0,CHI,Corie Blount,845000.0,0.038316558162789505
1994.0,CHI,Dickey Simpkins,650000.0,0.029474275509838083
1994.0,CHI,Steve Kerr,620000.0,0.02811392433246094
1994.0,CHI,Pete Myers,545000.0,0.024713046389018084
1994.0,CHI,Larry Krystkowiak,515000.0,0.02335269521164094
1994.0,CHI,John Paxson,400000.0,0.018138015698361896
1994.0,CHI,Jud Buechler,150000.0,0.006801755886885711
1994.0,CHI,Greg Foster,80500.0,0.0036502756592953316
1994.0,CHI,Jo Jo English,50000.0,0.002267251962295237
1994.0,CHI,Kevin Rankin,11404.0,0.0005171148275602977
1994.0,CHI,Kenny Harris,5000.0,0.0002267251962295237
1995.0,CHI,Michael Jordan,3850000.0,0.1637461721674039
1995.0,CHI,Toni Kukoc,3560000.0,0.1514120449132358
1995.0,CHI,Ron Harper,3120000.0,0.13269819666553248
1995.0,CHI,Scottie Pippen,2925000.0,0.12440455937393671
1995.0,CHI,Dennis Rodman,2500000.0,0.10632868322558693
1995.0,CHI,Luc Longley,2300000.0,0.09782238856753998
1995.0,CHI,Bill Wennington,1000000.0,0.042531473290234774
1995.0,CHI,Randy Brown,900000.0,0.03827832596121129
1995.0,CHI,Dickey Simpkins,845000.0,0.03593909493024838
1995.0,CHI,Steve Kerr,800000.0,0.03402517863218782
1995.0,CHI,Jason Caffey,627000.0,0.026667233752977203
1995.0,CHI,Larry Krystkowiak,335000.0,0.014248043552228648
1995.0,CHI,Jud Buechler,300000.0,0.012759441987070432
1995.0,CHI,Jack Haley,225000.0,0.009569581490302823
1995.0,CHI,James Edwards,225000.0,0.009569581490302823
1991.0,CHO,Larry Johnson,1955000.0,0.15485148514851485
1991.0,CHO,Kendall Gill,1908000.0,0.15112871287128712
1991.0,CHO,Mike Gminski,1850000.0,0.14653465346534653
1991.0,CHO,J.R. Reid,1250000.0,0.09900990099009901
1991.0,CHO,Johnny Newman,1206000.0,0.09552475247524753
1991.0,CHO,Dell Curry,1006000.0,0.07968316831683168
1991.0,CHO,Rex Chapman,940000.0,0.07445544554455445
1991.0,CHO,Muggsy Bogues,906000.0,0.07176237623762376
1991.0,CHO,Eric Leckner,618000.0,0.04895049504950495
1991.0,CHO,Kenny Gattison,456000.0,0.036118811881188116
1991.0,CHO,Mike Holton,400000.0,0.031683168316831684
1991.0,CHO,Anthony Frederick,130000.0,0.010297029702970298
1992.0,CHO,Larry Johnson,2540000.0,0.17950530035335688
1992.0,CHO,Alonzo Mourning,2400000.0,0.1696113074204947
1992.0,CHO,Kendall Gill,1908000.0,0.1348409893992933
1992.0,CHO,Mike Gminski,1415000.0,0.1
1992.0,CHO,Sidney Green,1288000.0,0.09102473498233216
1992.0,CHO,Johnny Newman,1175000.0,0.08303886925795052
1992.0,CHO,Tom Hammonds,850000.0,0.06007067137809187
1992.0,CHO,Dell Curry,750000.0,0.053003533568904596
1992.0,CHO,Muggsy Bogues,700000.0,0.04946996466431095
