,date,teams,players
201,"September 22, 1997","{'GSW', 'CHI'}","{'Dickey Simpkins', 'Scott Burrell'}"
202,"September 24, 1997","{'DAL', 'ORL'}","{'Derek Harper', ""Ed O'Bannon"", 'Dennis Scott'}"
203,"September 25, 1997","{'MIL', 'CLE', 'SEA'}","{'Tyrone Hill', 'Shawn Kemp', 'Sherman Douglas', 'Vin Baker', 'Terrell Brandon'}"
204,"September 29, 1997","{'DEN', 'ATL'}","{'Priest Lauderdale', 'Efthimis Rentzias'}"
205,"October 1, 1997","{'PHO', 'DEN', 'CLE'}","{'Tony Dumas', 'Antonio McDyess', 'Wesley Person'}"
206,"October 2, 1997","{'DEN', 'SEA'}","{'Dale Ellis', 'Steve Scheffler', 'Greg Graham'}"
207,"October 10, 1997","{'POR', 'TOR', 'NYK'}","{'John Wallace', 'Chris Dudley'}"
208,"October 20, 1997","{'DEN', 'CLE'}","{'Sherman Douglas', 'Greg Graham'}"
209,"October 22, 1997","{'BOS', 'NYK'}","{'John Thomas', 'Chris Mills', ""Dontae' Jones"", 'Scott Brooks', 'Walter McCarty'}"
210,"October 28, 1997","{'VAN', 'HOU'}",{'Sam Mack'}
211,"October 28, 1997","{'VAN', 'BOS'}","{'Tony Massenburg', 'Roy Rogers'}"
212,"October 28, 1997","{'GSW', 'ORL'}","{'Brian Shaw', 'David Vaughn', 'Mark Price'}"
213,"November 7, 1997","{'GSW', 'CHH'}","{'Muggsy Bogues', 'B.J. Armstrong', 'Tony Delk'}"
214,"November 21, 1997","{'PHO', 'PHI'}","{'Marko MiliÄ\x8d', 'Tom Chambers'}"
215,"December 18, 1997","{'DET', 'PHI'}","{'Aaron McKie', 'Jerry Stackhouse', 'Theo Ratliff', 'Eric Montross'}"
216,"January 18, 1998","{'PHI', 'SEA'}",{'Eric Snow'}
217,"February 13, 1998","{'POR', 'TOR'}","{'Damon Stoudamire', 'Gary Trent', 'Carlos Rogers', 'Kenny Anderson', 'Walt Williams', 'Alvin Williams'}"
218,"February 17, 1998","{'GSW', 'PHI'}","{'Brian Shaw', 'Clarence Weatherspoon', 'Jim Jackson', 'Joe Smith'}"
219,"February 18, 1998","{'TOR', 'BOS'}","{'Chauncey Billups', 'John Thomas', 'Å½an Tabak', 'Popeye Jones', 'Roy Rogers', 'Dee Brown', 'Kenny Anderson'}"
220,"February 18, 1998","{'PHO', 'DAL'}","{'Dennis Scott', 'Cedric Ceballos'}"
221,"February 18, 1998","{'VAN', 'SAC'}","{'Chris Robinson', 'Michael Smith', 'Otis Thorpe', 'Bobby Hurley'}"
222,"February 18, 1998","{'MIN', 'VAN'}","{'Anthony Peeler', 'Doug West'}"
223,"February 19, 1998","{'MIA', 'LAC'}","{'Isaac Austin', 'Charles Smith', 'Brent Barry'}"
224,"February 19, 1998","{'NJN', 'ORL'}","{'Rony Seikaly', 'David Benoit', 'Kevin Edwards', 'Brian Evans', 'Yinka Dare'}"
225,"February 19, 1998","{'GSW', 'CHI'}","{'Jason Caffey', 'David Vaughn'}"
226,"February 19, 1998","{'PHI', 'NYK'}","{'Terry Cummings', 'Ron Grandison', 'Herb Williams'}"
227,"May 14, 1998","{'WAS', 'SAC'}","{'Chris Webber', 'Mitch Richmond', 'Otis Thorpe'}"
228,"June 9, 1998","{'TOR', 'HOU'}","{'Kevin Willis', 'Roy Rogers'}"
229,"June 24, 1998","{'DEN', 'LAL'}","{'Tony Battie', 'Nick Van Exel', 'Tyronn Lue'}"
230,"June 24, 1998","{'GSW', 'TOR'}","{'Vince Carter', 'Antawn Jamison'}"
231,"June 24, 1998","{'SAS', 'VAN'}","{'Antonio Daniels', 'Carl Herrera', 'Felipe LÃ³pez'}"
232,"June 24, 1998","{'PHI', 'UTA'}",{'Nazr Mohammed'}
233,"June 24, 1998","{'PHO', 'DAL'}","{'Martin MÃ¼Ã¼rsepp', 'Steve Nash', 'Pat Garrity', 'Bubba Wells'}"
234,"June 24, 1998","{'MIL', 'DAL'}","{'Dirk Nowitzki', 'Pat Garrity', 'Robert Traylor'}"
235,"June 24, 1998","{'CHI', 'ATL'}","{'Shammond Williams', 'Cory Carr'}"
236,"June 25, 1998","{'TOR', 'NYK'}","{'Charles Oakley', 'Sean Marks', 'Marcus Camby'}"
237,"January 21, 1999","{'BOS', 'LAL'}","{'Tony Battie', 'Travis Knight'}"
238,"January 21, 1999","{'DEN', 'TOR', 'MIN'}","{'Bobby Jackson', 'Dean Garrett', 'Chauncey Billups', 'Micheal Williams', 'Å½eljko RebraÄ\x8da', 'Tyson Wheeler'}"
239,"January 21, 1999","{'GSW', 'NYK'}","{'John Starks', 'Chris Mills', 'Terry Cummings', 'Latrell Sprewell'}"
240,"January 21, 1999","{'SAS', 'CHI'}","{'Chuck Person', 'Steve Kerr'}"
241,"January 21, 1999","{'NJN', 'SEA'}","{'Jim McIlvaine', 'Don MacLean', 'Michael Cage'}"
242,"January 21, 1999","{'DEN', 'ORL'}","{'Johnny Taylor', 'Keon Clark'}"
243,"January 21, 1999","{'PHI', 'HOU'}",{'Mirsad TÃ¼rkcan'}
244,"January 22, 1999","{'HOU', 'CHI'}","{'Scottie Pippen', 'Roy Rogers'}"
245,"January 22, 1999","{'DET', 'POR'}",{'Bonzi Wells'}
246,"January 22, 1999","{'DET', 'ATL'}","{'Scot Pollard', 'Christian Laettner'}"
247,"January 22, 1999","{'MIL', 'CHI'}",{'Andrew Lang'}
248,"January 23, 1999","{'PHO', 'CHI'}","{'Mark Bryant', 'Martin MÃ¼Ã¼rsepp', 'Bubba Wells', 'Luc Longley'}"
249,"February 4, 1999","{'GSW', 'UTA'}",{'Todd Fuller'}
250,"March 10, 1999","{'CHH', 'LAL'}","{'Eddie Jones', 'J.R. Reid', 'Glen Rice', 'Elden Campbell', 'B.J. Armstrong'}"
251,"March 11, 1999","{'MIL', 'MIN', 'NJN'}","{'Chris Gatling', 'Chris Carr', 'Stephon Marbury', 'Paul Grant', 'Elliot Perry', 'Bill Curley', 'Terrell Brandon', 'Brian Evans', 'Sam Cassell'}"
252,"March 11, 1999","{'BOS', 'CLE'}","{'Andrew DeClercq', 'Vitaly Potapenko'}"
253,"March 11, 1999","{'MIL', 'PHI'}","{'Scott Williams', 'Tyrone Hill', 'Jerald Honeycutt', 'Tim Thomas'}"
254,"March 11, 1999","{'VAN', 'HOU'}","{'Rodrick Rhodes', 'Sam Mack'}"
255,"March 11, 1999","{'PHI', 'NYK'}",{'Mirsad TÃ¼rkcan'}
256,"June 29, 1999","{'GSW', 'ATL'}","{'Duane Ferrell', 'Mookie Blaylock', 'Bimbo Coles'}"
257,"June 30, 1999","{'SAS', 'DAL'}","{'Leon Smith', 'Gordan GiriÄ\x8dek'}"
